employee_id,department,step,step_start,step_end,days_taken,status
EMP0001,Marketing,Document Submission,2025-01-29,2025-02-01,3,Completed
EMP0001,Marketing,IT Setup,2025-02-01,2025-02-06,5,Completed
EMP0001,Marketing,Training,2025-02-06,2025-02-09,3,Completed
EMP0001,Marketing,Manager Briefing,2025-02-09,2025-02-10,1,Completed
EMP0001,Marketing,System Access,2025-02-10,2025-02-18,8,Completed
EMP0002,Operations,Document Submission,2023-01-31,2023-02-04,4,Completed
EMP0002,Operations,IT Setup,2023-02-04,2023-02-19,15,Completed
EMP0002,Operations,Training,2023-02-19,2023-02-22,3,Completed
EMP0002,Operations,Manager Briefing,2023-02-22,2023-02-26,4,Completed
EMP0002,Operations,System Access,2023-02-26,2023-03-04,6,Completed
EMP0003,Marketing,Document Submission,2024-07-12,2024-07-14,2,Completed
EMP0003,Marketing,IT Setup,2024-07-14,2024-07-27,13,Completed
EMP0003,Marketing,Training,2024-07-27,2024-07-30,3,Completed
EMP0003,Marketing,Manager Briefing,2024-07-30,2024-08-02,3,Completed
EMP0003,Marketing,System Access,2024-08-02,2024-08-07,5,Completed
EMP0004,Engineering,Document Submission,2023-06-13,2023-06-14,1,Completed
EMP0004,Engineering,IT Setup,2023-06-14,2023-06-28,14,Completed
EMP0004,Engineering,Training,2023-06-28,2023-06-30,2,Completed
EMP0004,Engineering,Manager Briefing,2023-06-30,2023-07-02,2,Completed
EMP0004,Engineering,System Access,2023-07-02,2023-07-05,3,Completed
EMP0005,Sales,Document Submission,2023-12-11,2023-12-13,2,Completed
EMP0005,Sales,IT Setup,2023-12-13,2023-12-28,15,Completed
EMP0005,Sales,Training,2023-12-28,2023-12-30,2,Completed
EMP0005,Sales,Manager Briefing,2023-12-30,2023-12-31,1,Completed
EMP0005,Sales,System Access,2023-12-31,2024-01-04,4,Completed
EMP0006,Engineering,Document Submission,2024-07-03,2024-07-07,4,Completed
EMP0006,Engineering,IT Setup,2024-07-07,2024-07-17,10,Completed
EMP0006,Engineering,Training,2024-07-17,2024-07-21,4,Completed
EMP0006,Engineering,Manager Briefing,2024-07-21,2024-07-22,1,Completed
EMP0006,Engineering,System Access,2024-07-22,2024-07-27,5,Completed
EMP0007,Operations,Document Submission,2023-03-13,2023-03-14,1,Completed
EMP0007,Operations,IT Setup,2023-03-14,2023-03-27,13,Completed
EMP0007,Operations,Training,2023-03-27,2023-03-29,2,Completed
EMP0007,Operations,Manager Briefing,2023-03-29,2023-04-02,4,Completed
EMP0007,Operations,System Access,2023-04-02,2023-04-12,10,Completed
EMP0008,Engineering,Document Submission,2024-04-09,2024-04-13,4,Completed
EMP0008,Engineering,IT Setup,2024-04-13,2024-04-28,15,Completed
EMP0008,Engineering,Training,2024-04-28,2024-04-30,2,Completed
EMP0008,Engineering,Manager Briefing,2024-04-30,2024-05-03,3,Completed
EMP0008,Engineering,System Access,2024-05-03,2024-05-11,8,Completed
EMP0009,HR,Document Submission,2023-10-01,2023-10-04,3,Completed
EMP0009,HR,IT Setup,2023-10-04,2023-10-19,15,Completed
EMP0009,HR,Training,2023-10-19,2023-10-20,1,Completed
EMP0009,HR,Manager Briefing,2023-10-20,2023-10-21,1,Completed
EMP0009,HR,System Access,2023-10-21,2023-10-27,6,Completed
EMP0010,Operations,Document Submission,2023-06-17,2023-06-18,1,Completed
EMP0010,Operations,IT Setup,2023-06-18,2023-06-25,7,Completed
EMP0010,Operations,Training,2023-06-25,2023-06-29,4,Completed
EMP0010,Operations,Manager Briefing,2023-06-29,2023-07-01,2,Completed
EMP0010,Operations,System Access,2023-07-01,2023-07-04,3,Completed
EMP0011,Marketing,Document Submission,2025-02-25,2025-03-01,4,Completed
EMP0011,Marketing,IT Setup,2025-03-01,2025-03-13,12,Completed
EMP0011,Marketing,Training,2025-03-13,2025-03-15,2,Completed
EMP0011,Marketing,Manager Briefing,2025-03-15,2025-03-18,3,Completed
EMP0011,Marketing,System Access,2025-03-18,2025-03-21,3,Completed
EMP0012,Finance,Document Submission,2023-08-05,2023-08-06,1,Completed
EMP0012,Finance,IT Setup,2023-08-06,2023-08-15,9,Completed
EMP0012,Finance,Training,2023-08-15,2023-08-16,1,Completed
EMP0012,Finance,Manager Briefing,2023-08-16,2023-08-19,3,Completed
EMP0012,Finance,System Access,2023-08-19,2023-08-26,7,Completed
EMP0013,Sales,Document Submission,2024-02-10,2024-02-14,4,Completed
EMP0013,Sales,IT Setup,2024-02-14,2024-02-29,15,Completed
EMP0013,Sales,Training,2024-02-29,2024-03-04,4,Completed
EMP0013,Sales,Manager Briefing,2024-03-04,2024-03-06,2,Completed
EMP0013,Sales,System Access,2024-03-06,2024-03-16,10,Completed
EMP0014,Sales,Document Submission,2024-07-28,2024-07-31,3,Completed
EMP0014,Sales,IT Setup,2024-07-31,2024-08-08,8,Completed
EMP0014,Sales,Training,2024-08-08,2024-08-09,1,Completed
EMP0014,Sales,Manager Briefing,2024-08-09,2024-08-12,3,Completed
EMP0014,Sales,System Access,2024-08-12,2024-08-17,5,Completed
EMP0015,HR,Document Submission,2023-05-22,2023-05-26,4,Completed
EMP0015,HR,IT Setup,2023-05-26,2023-06-10,15,Completed
EMP0015,HR,Training,2023-06-10,2023-06-13,3,Completed
EMP0015,HR,Manager Briefing,2023-06-13,2023-06-15,2,Completed
EMP0015,HR,System Access,2023-06-15,2023-06-18,3,Completed
EMP0016,Engineering,Document Submission,2023-06-13,2023-06-16,3,Completed
EMP0016,Engineering,IT Setup,2023-06-16,2023-06-25,9,Completed
EMP0016,Engineering,Training,2023-06-25,2023-06-27,2,Completed
EMP0016,Engineering,Manager Briefing,2023-06-27,2023-06-29,2,Completed
EMP0016,Engineering,System Access,2023-06-29,2023-07-08,9,Completed
EMP0017,Finance,Document Submission,2024-04-24,2024-04-28,4,Completed
EMP0017,Finance,IT Setup,2024-04-28,2024-05-11,13,Completed
EMP0017,Finance,Training,2024-05-11,2024-05-14,3,Completed
EMP0017,Finance,Manager Briefing,2024-05-14,2024-05-15,1,Completed
EMP0017,Finance,System Access,2024-05-15,2024-05-24,9,Completed
EMP0018,Marketing,Document Submission,2025-02-07,2025-02-08,1,Completed
EMP0018,Marketing,IT Setup,2025-02-08,2025-02-15,7,Completed
EMP0018,Marketing,Training,2025-02-15,2025-02-17,2,Completed
EMP0018,Marketing,Manager Briefing,2025-02-17,2025-02-21,4,Completed
EMP0018,Marketing,System Access,2025-02-21,2025-03-01,8,Completed
EMP0019,Finance,Document Submission,2023-01-04,2023-01-06,2,Completed
EMP0019,Finance,IT Setup,2023-01-06,2023-01-11,5,Completed
EMP0019,Finance,Training,2023-01-11,2023-01-14,3,Completed
EMP0019,Finance,Manager Briefing,2023-01-14,2023-01-18,4,Completed
EMP0019,Finance,System Access,2023-01-18,2023-01-24,6,Completed
EMP0020,Operations,Document Submission,2025-06-10,2025-06-14,4,Completed
EMP0020,Operations,IT Setup,2025-06-14,2025-06-23,9,Completed
EMP0020,Operations,Training,2025-06-23,2025-06-26,3,Completed
EMP0020,Operations,Manager Briefing,2025-06-26,2025-06-29,3,Completed
EMP0020,Operations,System Access,2025-06-29,2025-07-02,3,Completed
EMP0021,Sales,Document Submission,2023-06-15,2023-06-18,3,Completed
EMP0021,Sales,IT Setup,2023-06-18,2023-07-03,15,Completed
EMP0021,Sales,Training,2023-07-03,2023-07-06,3,Completed
EMP0021,Sales,Manager Briefing,2023-07-06,2023-07-08,2,Completed
EMP0021,Sales,System Access,2023-07-08,2023-07-11,3,Completed
EMP0022,Finance,Document Submission,2025-08-09,2025-08-10,1,Completed
EMP0022,Finance,IT Setup,2025-08-10,2025-08-22,12,Completed
EMP0022,Finance,Training,2025-08-22,2025-08-25,3,Completed
EMP0022,Finance,Manager Briefing,2025-08-25,2025-08-27,2,Completed
EMP0022,Finance,System Access,2025-08-27,2025-09-05,9,Completed
EMP0023,Sales,Document Submission,2025-08-27,2025-08-30,3,Completed
EMP0023,Sales,IT Setup,2025-08-30,2025-09-05,6,Completed
EMP0023,Sales,Training,2025-09-05,2025-09-08,3,Completed
EMP0023,Sales,Manager Briefing,2025-09-08,2025-09-11,3,Completed
EMP0023,Sales,System Access,2025-09-11,2025-09-17,6,Completed
EMP0024,Sales,Document Submission,2025-08-27,2025-08-29,2,Completed
EMP0024,Sales,IT Setup,2025-08-29,2025-09-05,7,Completed
EMP0024,Sales,Training,2025-09-05,2025-09-09,4,Completed
EMP0024,Sales,Manager Briefing,2025-09-09,2025-09-11,2,Completed
EMP0024,Sales,System Access,2025-09-11,2025-09-21,10,Completed
EMP0025,Sales,Document Submission,2025-02-12,2025-02-15,3,Completed
EMP0025,Sales,IT Setup,2025-02-15,2025-02-26,11,Completed
EMP0025,Sales,Training,2025-02-26,2025-03-02,4,Completed
EMP0025,Sales,Manager Briefing,2025-03-02,2025-03-04,2,Completed
EMP0025,Sales,System Access,2025-03-04,2025-03-10,6,Completed
EMP0026,Finance,Document Submission,2024-10-27,2024-10-28,1,Completed
EMP0026,Finance,IT Setup,2024-10-28,2024-11-10,13,Completed
EMP0026,Finance,Training,2024-11-10,2024-11-14,4,Completed
EMP0026,Finance,Manager Briefing,2024-11-14,2024-11-17,3,Completed
EMP0026,Finance,System Access,2024-11-17,2024-11-21,4,Completed
EMP0027,Sales,Document Submission,2023-12-13,2023-12-14,1,Completed
EMP0027,Sales,IT Setup,2023-12-14,2023-12-19,5,Completed
EMP0027,Sales,Training,2023-12-19,2023-12-21,2,Completed
EMP0027,Sales,Manager Briefing,2023-12-21,2023-12-23,2,Completed
EMP0027,Sales,System Access,2023-12-23,2023-12-28,5,Completed
EMP0028,Engineering,Document Submission,2023-03-02,2023-03-05,3,Completed
EMP0028,Engineering,IT Setup,2023-03-05,2023-03-18,13,Completed
EMP0028,Engineering,Training,2023-03-18,2023-03-22,4,Completed
EMP0028,Engineering,Manager Briefing,2023-03-22,2023-03-23,1,Completed
EMP0028,Engineering,System Access,2023-03-23,2023-03-29,6,Completed
EMP0029,Operations,Document Submission,2024-11-16,2024-11-20,4,Completed
EMP0029,Operations,IT Setup,2024-11-20,2024-11-26,6,Completed
EMP0029,Operations,Training,2024-11-26,2024-11-30,4,Completed
EMP0029,Operations,Manager Briefing,2024-11-30,2024-12-01,1,Completed
EMP0029,Operations,System Access,2024-12-01,2024-12-11,10,Completed
EMP0030,Sales,Document Submission,2025-04-06,2025-04-08,2,Completed
EMP0030,Sales,IT Setup,2025-04-08,2025-04-21,13,Completed
EMP0030,Sales,Training,2025-04-21,2025-04-25,4,Completed
EMP0030,Sales,Manager Briefing,2025-04-25,2025-04-29,4,Completed
EMP0030,Sales,System Access,2025-04-29,2025-05-02,3,Completed
EMP0031,HR,Document Submission,2024-04-23,2024-04-27,4,Completed
EMP0031,HR,IT Setup,2024-04-27,2024-05-12,15,Completed
EMP0031,HR,Training,2024-05-12,2024-05-15,3,Completed
EMP0031,HR,Manager Briefing,2024-05-15,2024-05-16,1,Completed
EMP0031,HR,System Access,2024-05-16,2024-05-25,9,Completed
EMP0032,Engineering,Document Submission,2023-12-14,2023-12-17,3,Completed
EMP0032,Engineering,IT Setup,2023-12-17,2023-12-22,5,Completed
EMP0032,Engineering,Training,2023-12-22,2023-12-24,2,Completed
EMP0032,Engineering,Manager Briefing,2023-12-24,2023-12-25,1,Completed
EMP0032,Engineering,System Access,2023-12-25,2023-12-28,3,Completed
EMP0033,Sales,Document Submission,2023-05-24,2023-05-28,4,Completed
EMP0033,Sales,IT Setup,2023-05-28,2023-06-07,10,Completed
EMP0033,Sales,Training,2023-06-07,2023-06-08,1,Completed
EMP0033,Sales,Manager Briefing,2023-06-08,2023-06-09,1,Completed
EMP0033,Sales,System Access,2023-06-09,2023-06-13,4,Completed
EMP0034,Engineering,Document Submission,2025-06-01,2025-06-05,4,Completed
EMP0034,Engineering,IT Setup,2025-06-05,2025-06-10,5,Completed
EMP0034,Engineering,Training,2025-06-10,2025-06-13,3,Completed
EMP0034,Engineering,Manager Briefing,2025-06-13,2025-06-17,4,Completed
EMP0034,Engineering,System Access,2025-06-17,2025-06-22,5,Completed
EMP0035,Engineering,Document Submission,2025-05-19,2025-05-21,2,Completed
EMP0035,Engineering,IT Setup,2025-05-21,2025-06-05,15,Completed
EMP0035,Engineering,Training,2025-06-05,2025-06-09,4,Completed
EMP0035,Engineering,Manager Briefing,2025-06-09,2025-06-12,3,Completed
EMP0035,Engineering,System Access,2025-06-12,2025-06-21,9,Completed
EMP0036,Sales,Document Submission,2025-07-13,2025-07-17,4,Completed
EMP0036,Sales,IT Setup,2025-07-17,2025-07-28,11,Completed
EMP0036,Sales,Training,2025-07-28,2025-08-01,4,Completed
EMP0036,Sales,Manager Briefing,2025-08-01,2025-08-02,1,Completed
EMP0036,Sales,System Access,2025-08-02,2025-08-07,5,Completed
EMP0037,HR,Document Submission,2025-01-18,2025-01-21,3,Completed
EMP0037,HR,IT Setup,2025-01-21,2025-01-27,6,Completed
EMP0037,HR,Training,2025-01-27,2025-01-29,2,Completed
EMP0037,HR,Manager Briefing,2025-01-29,2025-02-02,4,Completed
EMP0037,HR,System Access,2025-02-02,2025-02-07,5,Completed
EMP0038,Sales,Document Submission,2023-08-11,2023-08-13,2,Completed
EMP0038,Sales,IT Setup,2023-08-13,2023-08-18,5,Completed
EMP0038,Sales,Training,2023-08-18,2023-08-19,1,Completed
EMP0038,Sales,Manager Briefing,2023-08-19,2023-08-22,3,Completed
EMP0038,Sales,System Access,2023-08-22,2023-09-01,10,Completed
EMP0039,Marketing,Document Submission,2023-02-21,2023-02-25,4,Completed
EMP0039,Marketing,IT Setup,2023-02-25,2023-03-10,13,Completed
EMP0039,Marketing,Training,2023-03-10,2023-03-14,4,Completed
EMP0039,Marketing,Manager Briefing,2023-03-14,2023-03-16,2,Completed
EMP0039,Marketing,System Access,2023-03-16,2023-03-22,6,Completed
EMP0040,Engineering,Document Submission,2023-03-24,2023-03-28,4,Completed
EMP0040,Engineering,IT Setup,2023-03-28,2023-04-07,10,Completed
EMP0040,Engineering,Training,2023-04-07,2023-04-09,2,Completed
EMP0040,Engineering,Manager Briefing,2023-04-09,2023-04-12,3,Completed
EMP0040,Engineering,System Access,2023-04-12,2023-04-18,6,Completed
EMP0041,Marketing,Document Submission,2024-02-18,2024-02-19,1,Completed
EMP0041,Marketing,IT Setup,2024-02-19,2024-02-24,5,Completed
EMP0041,Marketing,Training,2024-02-24,2024-02-28,4,Completed
EMP0041,Marketing,Manager Briefing,2024-02-28,2024-02-29,1,Completed
EMP0041,Marketing,System Access,2024-02-29,2024-03-06,6,Completed
EMP0042,Operations,Document Submission,2024-11-04,2024-11-06,2,Completed
EMP0042,Operations,IT Setup,2024-11-06,2024-11-12,6,Completed
EMP0042,Operations,Training,2024-11-12,2024-11-13,1,Completed
EMP0042,Operations,Manager Briefing,2024-11-13,2024-11-14,1,Completed
EMP0042,Operations,System Access,2024-11-14,2024-11-24,10,Completed
EMP0043,Sales,Document Submission,2023-11-18,2023-11-19,1,Completed
EMP0043,Sales,IT Setup,2023-11-19,2023-11-27,8,Completed
EMP0043,Sales,Training,2023-11-27,2023-11-28,1,Completed
EMP0043,Sales,Manager Briefing,2023-11-28,2023-12-02,4,Completed
EMP0043,Sales,System Access,2023-12-02,2023-12-12,10,Completed
EMP0044,Engineering,Document Submission,2024-09-28,2024-09-30,2,Completed
EMP0044,Engineering,IT Setup,2024-09-30,2024-10-13,13,Completed
EMP0044,Engineering,Training,2024-10-13,2024-10-15,2,Completed
EMP0044,Engineering,Manager Briefing,2024-10-15,2024-10-16,1,Completed
EMP0044,Engineering,System Access,2024-10-16,2024-10-21,5,Completed
EMP0045,Operations,Document Submission,2025-08-13,2025-08-16,3,Completed
EMP0045,Operations,IT Setup,2025-08-16,2025-08-24,8,Completed
EMP0045,Operations,Training,2025-08-24,2025-08-27,3,Completed
EMP0045,Operations,Manager Briefing,2025-08-27,2025-08-30,3,Completed
EMP0045,Operations,System Access,2025-08-30,2025-09-05,6,Completed
EMP0046,HR,Document Submission,2025-05-03,2025-05-06,3,Completed
EMP0046,HR,IT Setup,2025-05-06,2025-05-13,7,Completed
EMP0046,HR,Training,2025-05-13,2025-05-15,2,Completed
EMP0046,HR,Manager Briefing,2025-05-15,2025-05-19,4,Completed
EMP0046,HR,System Access,2025-05-19,2025-05-26,7,Completed
EMP0047,Marketing,Document Submission,2023-11-03,2023-11-06,3,Completed
EMP0047,Marketing,IT Setup,2023-11-06,2023-11-11,5,Completed
EMP0047,Marketing,Training,2023-11-11,2023-11-13,2,Completed
EMP0047,Marketing,Manager Briefing,2023-11-13,2023-11-17,4,Completed
EMP0047,Marketing,System Access,2023-11-17,2023-11-27,10,Completed
EMP0048,Engineering,Document Submission,2025-01-30,2025-01-31,1,Completed
EMP0048,Engineering,IT Setup,2025-01-31,2025-02-10,10,Completed
EMP0048,Engineering,Training,2025-02-10,2025-02-14,4,Completed
EMP0048,Engineering,Manager Briefing,2025-02-14,2025-02-17,3,Completed
EMP0048,Engineering,System Access,2025-02-17,2025-02-26,9,Completed
EMP0049,Marketing,Document Submission,2024-12-04,2024-12-08,4,Completed
EMP0049,Marketing,IT Setup,2024-12-08,2024-12-15,7,Completed
EMP0049,Marketing,Training,2024-12-15,2024-12-18,3,Completed
EMP0049,Marketing,Manager Briefing,2024-12-18,2024-12-22,4,Completed
EMP0049,Marketing,System Access,2024-12-22,2024-12-27,5,Completed
EMP0050,HR,Document Submission,2025-05-16,2025-05-20,4,Completed
EMP0050,HR,IT Setup,2025-05-20,2025-05-28,8,Completed
EMP0050,HR,Training,2025-05-28,2025-05-30,2,Completed
EMP0050,HR,Manager Briefing,2025-05-30,2025-06-02,3,Completed
EMP0050,HR,System Access,2025-06-02,2025-06-07,5,Completed
EMP0051,HR,Document Submission,2024-10-14,2024-10-18,4,Completed
EMP0051,HR,IT Setup,2024-10-18,2024-10-23,5,Completed
EMP0051,HR,Training,2024-10-23,2024-10-27,4,Completed
EMP0051,HR,Manager Briefing,2024-10-27,2024-10-31,4,Completed
EMP0051,HR,System Access,2024-10-31,2024-11-05,5,Completed
EMP0052,Operations,Document Submission,2024-07-28,2024-08-01,4,Completed
EMP0052,Operations,IT Setup,2024-08-01,2024-08-09,8,Completed
EMP0052,Operations,Training,2024-08-09,2024-08-12,3,Completed
EMP0052,Operations,Manager Briefing,2024-08-12,2024-08-14,2,Completed
EMP0052,Operations,System Access,2024-08-14,2024-08-22,8,Completed
EMP0053,HR,Document Submission,2023-06-01,2023-06-02,1,Completed
EMP0053,HR,IT Setup,2023-06-02,2023-06-14,12,Completed
EMP0053,HR,Training,2023-06-14,2023-06-17,3,Completed
EMP0053,HR,Manager Briefing,2023-06-17,2023-06-18,1,Completed
EMP0053,HR,System Access,2023-06-18,2023-06-24,6,Completed
EMP0054,Engineering,Document Submission,2023-08-04,2023-08-05,1,Completed
EMP0054,Engineering,IT Setup,2023-08-05,2023-08-14,9,Completed
EMP0054,Engineering,Training,2023-08-14,2023-08-18,4,Completed
EMP0054,Engineering,Manager Briefing,2023-08-18,2023-08-19,1,Completed
EMP0054,Engineering,System Access,2023-08-19,2023-08-23,4,Completed
EMP0055,Operations,Document Submission,2025-08-05,2025-08-07,2,Completed
EMP0055,Operations,IT Setup,2025-08-07,2025-08-21,14,Completed
EMP0055,Operations,Training,2025-08-21,2025-08-23,2,Completed
EMP0055,Operations,Manager Briefing,2025-08-23,2025-08-27,4,Completed
EMP0055,Operations,System Access,2025-08-27,2025-09-02,6,Completed
EMP0056,Engineering,Document Submission,2025-08-04,2025-08-07,3,Completed
EMP0056,Engineering,IT Setup,2025-08-07,2025-08-16,9,Completed
EMP0056,Engineering,Training,2025-08-16,2025-08-17,1,Completed
EMP0056,Engineering,Manager Briefing,2025-08-17,2025-08-19,2,Completed
EMP0056,Engineering,System Access,2025-08-19,2025-08-25,6,Completed
EMP0057,HR,Document Submission,2024-12-19,2024-12-20,1,Completed
EMP0057,HR,IT Setup,2024-12-20,2025-01-01,12,Completed
EMP0057,HR,Training,2025-01-01,2025-01-03,2,Completed
EMP0057,HR,Manager Briefing,2025-01-03,2025-01-05,2,Completed
EMP0057,HR,System Access,2025-01-05,2025-01-14,9,Completed
EMP0058,Finance,Document Submission,2025-04-20,2025-04-22,2,Completed
EMP0058,Finance,IT Setup,2025-04-22,2025-05-05,13,Completed
EMP0058,Finance,Training,2025-05-05,2025-05-08,3,Completed
EMP0058,Finance,Manager Briefing,2025-05-08,2025-05-11,3,Completed
EMP0058,Finance,System Access,2025-05-11,2025-05-20,9,Completed
EMP0059,Marketing,Document Submission,2023-12-03,2023-12-07,4,Completed
EMP0059,Marketing,IT Setup,2023-12-07,2023-12-20,13,Completed
EMP0059,Marketing,Training,2023-12-20,2023-12-23,3,Completed
EMP0059,Marketing,Manager Briefing,2023-12-23,2023-12-26,3,Completed
EMP0059,Marketing,System Access,2023-12-26,2024-01-02,7,Completed
EMP0060,Marketing,Document Submission,2024-07-03,2024-07-06,3,Completed
EMP0060,Marketing,IT Setup,2024-07-06,2024-07-19,13,Completed
EMP0060,Marketing,Training,2024-07-19,2024-07-23,4,Completed
