employee_id,department,review_date,score,reviewer_id,promoted
EMP0001,Marketing,2025-07-28,3.0,EMP0044,False
EMP0002,Operations,2023-07-30,3.0,EMP0002,False
EMP0002,Operations,2024-07-29,3.4,EMP0002,False
EMP0003,Marketing,2025-01-08,4.1,EMP0038,False
EMP0003,Marketing,2026-01-08,3.9,EMP0038,False
EMP0004,Engineering,2023-12-10,4.4,EMP0018,False
EMP0004,Engineering,2024-12-09,4.8,EMP0018,True
EMP0004,Engineering,2025-12-09,4.2,EMP0018,False
EMP0005,Sales,2024-06-08,3.8,EMP0023,False
EMP0006,Engineering,2024-12-30,3.4,EMP0019,False
EMP0007,Operations,2023-09-09,3.7,EMP0006,False
EMP0008,Engineering,2024-10-06,4.0,EMP0011,False
EMP0008,Engineering,2025-10-06,3.9,EMP0011,False
EMP0009,HR,2024-03-29,3.0,EMP0039,False
EMP0009,HR,2025-03-29,3.2,EMP0039,False
EMP0010,Operations,2023-12-14,3.9,EMP0041,False
EMP0010,Operations,2024-12-13,4.1,EMP0041,False
EMP0010,Operations,2025-12-13,3.8,EMP0041,False
EMP0011,Marketing,2025-08-24,3.2,EMP0003,False
EMP0012,Finance,2024-02-01,3.1,EMP0046,False
EMP0012,Finance,2025-01-31,3.1,EMP0046,False
EMP0012,Finance,2026-01-31,3.3,EMP0046,False
EMP0013,Sales,2024-08-08,3.5,EMP0010,False
EMP0013,Sales,2025-08-08,4.3,EMP0010,False
EMP0014,Sales,2025-01-24,1.7,EMP0028,False
EMP0014,Sales,2026-01-24,1.6,EMP0028,False
EMP0015,HR,2023-11-18,2.4,EMP0049,False
EMP0015,HR,2024-11-17,2.3,EMP0049,False
EMP0015,HR,2025-11-17,2.3,EMP0049,False
EMP0016,Engineering,2023-12-10,2.9,EMP0039,False
EMP0016,Engineering,2024-12-09,2.7,EMP0039,False
EMP0016,Engineering,2025-12-09,2.4,EMP0039,False
EMP0017,Finance,2024-10-21,2.8,EMP0001,False
EMP0017,Finance,2025-10-21,2.6,EMP0001,False
EMP0018,Marketing,2025-08-06,4.3,EMP0008,False
EMP0019,Finance,2023-07-03,2.5,EMP0033,False
EMP0019,Finance,2024-07-02,2.3,EMP0033,False
EMP0019,Finance,2025-07-02,2.4,EMP0033,False
EMP0020,Operations,2025-12-07,3.2,EMP0039,False
EMP0021,Sales,2023-12-12,3.8,EMP0001,False
EMP0021,Sales,2024-12-11,3.8,EMP0001,False
EMP0021,Sales,2025-12-11,4.1,EMP0001,False
EMP0022,Finance,2026-02-05,3.0,EMP0016,False
EMP0023,Sales,2026-02-23,3.6,EMP0049,False
EMP0024,Sales,2026-02-23,2.8,EMP0034,False
EMP0025,Sales,2025-08-11,3.5,EMP0046,False
EMP0026,Finance,2025-04-25,3.4,EMP0029,False
EMP0027,Sales,2024-06-10,2.0,EMP0015,False
EMP0027,Sales,2025-06-10,2.2,EMP0015,False
EMP0028,Engineering,2023-08-29,3.7,EMP0022,False
EMP0028,Engineering,2024-08-28,3.9,EMP0022,False
EMP0028,Engineering,2025-08-28,4.2,EMP0022,False
EMP0029,Operations,2025-05-15,3.0,EMP0009,False
EMP0030,Sales,2025-10-03,3.5,EMP0007,False
EMP0031,HR,2024-10-20,3.0,EMP0044,False
EMP0031,HR,2025-10-20,2.7,EMP0044,False
EMP0032,Engineering,2024-06-11,4.2,EMP0016,False
EMP0032,Engineering,2025-06-11,4.1,EMP0016,False
EMP0033,Sales,2023-11-20,3.4,EMP0030,False
EMP0033,Sales,2024-11-19,3.1,EMP0030,False
EMP0033,Sales,2025-11-19,3.5,EMP0030,False
EMP0034,Engineering,2025-11-28,3.3,EMP0004,False
EMP0035,Engineering,2025-11-15,4.1,EMP0032,False
EMP0036,Sales,2026-01-09,3.3,EMP0017,False
EMP0037,HR,2025-07-17,3.6,EMP0043,False
EMP0038,Sales,2024-02-07,1.9,EMP0048,False
EMP0038,Sales,2025-02-06,2.1,EMP0048,False
EMP0038,Sales,2026-02-06,2.0,EMP0048,False
EMP0039,Marketing,2023-08-20,2.6,EMP0034,False
EMP0039,Marketing,2024-08-19,2.4,EMP0034,False
EMP0039,Marketing,2025-08-19,2.6,EMP0034,False
EMP0040,Engineering,2023-09-20,3.9,EMP0039,False
EMP0040,Engineering,2024-09-19,4.2,EMP0039,False
EMP0040,Engineering,2025-09-19,4.1,EMP0039,False
EMP0041,Marketing,2024-08-16,4.8,EMP0039,False
EMP0041,Marketing,2025-08-16,4.0,EMP0039,False
EMP0042,Operations,2025-05-03,3.4,EMP0021,False
EMP0043,Sales,2024-05-16,3.6,EMP0030,False
EMP0044,Engineering,2025-03-27,3.5,EMP0005,False
EMP0045,Operations,2026-02-09,2.4,EMP0016,False
EMP0046,HR,2025-10-30,2.3,EMP0040,False
EMP0047,Marketing,2024-05-01,3.4,EMP0009,False
EMP0047,Marketing,2025-05-01,3.0,EMP0009,False
EMP0048,Engineering,2025-07-29,4.1,EMP0019,False
EMP0049,Marketing,2025-06-02,3.3,EMP0033,False
EMP0050,HR,2025-11-12,2.9,EMP0003,False
EMP0051,HR,2025-04-12,3.9,EMP0048,False
EMP0053,HR,2023-11-28,3.6,EMP0020,False
EMP0053,HR,2024-11-27,3.3,EMP0020,False
EMP0053,HR,2025-11-27,2.8,EMP0020,False
EMP0054,Engineering,2024-01-31,3.8,EMP0023,False
EMP0054,Engineering,2025-01-30,4.2,EMP0023,False
EMP0054,Engineering,2026-01-30,3.7,EMP0023,False
EMP0055,Operations,2026-02-01,4.6,EMP0012,False
EMP0056,Engineering,2026-01-31,3.9,EMP0043,False
EMP0058,Finance,2025-10-17,3.0,EMP0015,False
EMP0060,Marketing,2024-12-30,3.7,EMP0008,False
EMP0060,Marketing,2025-12-30,4.6,EMP0008,False
EMP0061,Sales,2024-03-27,3.1,EMP0047,False
EMP0061,Sales,2025-03-27,3.5,EMP0047,False
EMP0062,Finance,2024-12-04,3.0,EMP0046,False
EMP0063,Engineering,2025-10-02,2.5,EMP0024,False
EMP0064,Engineering,2026-01-27,3.1,EMP0043,False
EMP0065,Marketing,2024-11-30,4.2,EMP0021,False
EMP0065,Marketing,2025-11-30,4.1,EMP0021,False
EMP0066,Marketing,2023-11-07,4.2,EMP0044,False
EMP0066,Marketing,2024-11-06,3.7,EMP0044,False
EMP0066,Marketing,2025-11-06,4.0,EMP0044,False
EMP0067,Operations,2024-08-18,3.3,EMP0020,False
EMP0067,Operations,2025-08-18,3.5,EMP0020,False
EMP0068,Sales,2025-02-12,4.0,EMP0030,False
EMP0068,Sales,2026-02-12,3.5,EMP0030,False
EMP0069,Finance,2024-12-04,3.3,EMP0043,False
EMP0069,Finance,2025-12-04,4.2,EMP0043,False
EMP0070,HR,2025-04-08,3.1,EMP0049,False
EMP0071,Marketing,2025-10-02,3.3,EMP0003,False
EMP0072,Finance,2025-08-24,4.9,EMP0013,False
EMP0073,Finance,2023-11-28,3.3,EMP0049,False
EMP0073,Finance,2024-11-27,3.7,EMP0049,False
EMP0073,Finance,2025-11-27,3.3,EMP0049,False
EMP0074,Finance,2025-09-30,4.4,EMP0030,False
EMP0076,Finance,2025-07-05,4.5,EMP0036,False
EMP0077,Sales,2024-10-28,3.5,EMP0041,False
EMP0077,Sales,2025-10-28,3.9,EMP0041,False
EMP0078,Operations,2024-02-29,3.4,EMP0046,False
EMP0078,Operations,2025-02-28,3.6,EMP0046,False
EMP0078,Operations,2026-02-28,2.9,EMP0046,False
EMP0079,Sales,2024-05-22,3.5,EMP0009,False
EMP0079,Sales,2025-05-22,3.6,EMP0009,False
EMP0080,Sales,2023-12-03,1.8,EMP0027,False
EMP0080,Sales,2024-12-02,1.9,EMP0027,False
EMP0080,Sales,2025-12-02,1.7,EMP0027,False
EMP0081,HR,2024-08-28,3.1,EMP0045,False
EMP0082,Operations,2023-07-06,3.7,EMP0049,False
EMP0082,Operations,2024-07-05,4.0,EMP0049,False
EMP0082,Operations,2025-07-05,3.5,EMP0049,False
EMP0083,Finance,2025-07-21,4.5,EMP0015,True
EMP0084,Sales,2024-11-08,2.6,EMP0047,False
EMP0085,Finance,2025-03-28,2.9,EMP0038,False
EMP0086,Engineering,2023-11-15,3.3,EMP0004,False
EMP0086,Engineering,2024-11-14,3.4,EMP0004,False
EMP0086,Engineering,2025-11-14,3.3,EMP0004,False
EMP0087,Finance,2024-10-07,3.2,EMP0018,False
EMP0087,Finance,2025-10-07,3.8,EMP0018,False
EMP0088,HR,2024-10-23,3.6,EMP0015,False
EMP0088,HR,2025-10-23,4.2,EMP0015,False
EMP0089,Marketing,2023-07-31,2.8,EMP0002,False
EMP0089,Marketing,2024-07-30,2.4,EMP0002,False
EMP0089,Marketing,2025-07-30,2.5,EMP0002,False
EMP0090,Sales,2025-05-15,3.0,EMP0050,False
EMP0091,Sales,2025-08-03,3.6,EMP0020,False
EMP0092,Operations,2024-05-14,3.8,EMP0026,False
EMP0092,Operations,2025-05-14,3.2,EMP0026,False
EMP0093,Engineering,2025-10-27,3.1,EMP0045,False
EMP0094,Marketing,2023-10-31,3.2,EMP0003,False
EMP0094,Marketing,2024-10-30,3.2,EMP0003,False
EMP0094,Marketing,2025-10-30,3.4,EMP0003,False
EMP0095,Operations,2024-07-13,2.8,EMP0027,False
EMP0095,Operations,2025-07-13,2.9,EMP0027,False
EMP0096,Engineering,2024-07-04,2.2,EMP0046,False
EMP0096,Engineering,2025-07-04,3.2,EMP0046,False
EMP0097,Finance,2024-12-15,3.1,EMP0040,False
EMP0097,Finance,2025-12-15,2.9,EMP0040,False
EMP0098,Finance,2025-07-17,3.5,EMP0016,False
EMP0099,HR,2024-03-05,3.8,EMP0040,False
EMP0099,HR,2025-03-05,3.7,EMP0040,False
EMP0100,HR,2025-11-17,3.1,EMP0014,False
EMP0101,HR,2025-12-17,2.8,EMP0036,False
EMP0102,Operations,2023-09-25,3.3,EMP0032,False
EMP0102,Operations,2024-09-24,3.3,EMP0032,False
EMP0102,Operations,2025-09-24,3.4,EMP0032,False
EMP0103,Marketing,2025-06-27,2.4,EMP0006,False
EMP0104,Sales,2024-03-05,2.4,EMP0024,False
EMP0104,Sales,2025-03-05,3.3,EMP0024,False
EMP0105,Operations,2024-09-07,3.7,EMP0022,False
EMP0105,Operations,2025-09-07,3.1,EMP0022,False
EMP0106,Marketing,2024-05-08,3.7,EMP0047,False
EMP0106,Marketing,2025-05-08,3.6,EMP0047,False
EMP0107,HR,2024-12-29,4.8,EMP0013,False
EMP0107,HR,2025-12-29,4.2,EMP0013,False
EMP0108,Marketing,2025-07-10,3.4,EMP0039,False
EMP0109,Engineering,2024-04-28,3.6,EMP0020,False
EMP0109,Engineering,2025-04-28,3.4,EMP0020,False
EMP0112,Finance,2023-08-21,3.4,EMP0008,False
EMP0112,Finance,2024-08-20,3.1,EMP0008,False
EMP0112,Finance,2025-08-20,2.9,EMP0008,False
EMP0113,Finance,2025-02-09,3.1,EMP0010,False
EMP0113,Finance,2026-02-09,3.0,EMP0010,False
EMP0114,Operations,2023-09-25,5.0,EMP0036,False
EMP0114,Operations,2024-09-24,5.0,EMP0036,True
EMP0114,Operations,2025-09-24,4.9,EMP0036,True
EMP0115,Operations,2025-03-24,3.6,EMP0025,False
EMP0116,Finance,2025-02-21,3.5,EMP0037,False
EMP0116,Finance,2026-02-21,3.2,EMP0037,False
EMP0117,Operations,2023-10-09,4.2,EMP0041,False
EMP0117,Operations,2024-10-08,3.9,EMP0041,False
EMP0117,Operations,2025-10-08,3.4,EMP0041,False
EMP0118,HR,2023-12-07,2.9,EMP0005,False
EMP0118,HR,2024-12-06,2.7,EMP0005,False
EMP0118,HR,2025-12-06,2.6,EMP0005,False
EMP0119,Engineering,2025-06-04,4.2,EMP0003,False
EMP0120,HR,2025-06-18,4.6,EMP0044,False
EMP0121,HR,2025-03-31,3.6,EMP0028,False
EMP0122,Operations,2023-11-29,2.7,EMP0005,False
EMP0122,Operations,2024-11-28,2.3,EMP0005,False
EMP0122,Operations,2025-11-28,2.4,EMP0005,False
EMP0123,Sales,2025-02-28,4.1,EMP0019,False
EMP0123,Sales,2026-02-28,4.0,EMP0019,False
EMP0124,Engineering,2024-05-06,2.6,EMP0033,False
EMP0124,Engineering,2025-05-06,2.4,EMP0033,False
EMP0125,Finance,2023-08-09,3.4,EMP0039,False
EMP0125,Finance,2024-08-08,3.3,EMP0039,False
EMP0125,Finance,2025-08-08,3.2,EMP0039,False
EMP0126,Engineering,2025-05-20,3.8,EMP0038,False
EMP0127,Marketing,2025-02-09,3.1,EMP0034,False
EMP0128,HR,2025-02-18,2.9,EMP0006,False
EMP0128,HR,2026-02-18,2.9,EMP0006,False
EMP0129,HR,2024-05-23,3.0,EMP0022,False
EMP0129,HR,2025-05-23,3.3,EMP0022,False
EMP0130,Marketing,2025-05-08,3.2,EMP0003,False
EMP0131,Engineering,2024-05-26,2.0,EMP0001,False
EMP0132,Finance,2024-12-11,3.2,EMP0041,False
EMP0132,Finance,2025-12-11,2.8,EMP0041,False
EMP0133,Engineering,2025-01-12,2.7,EMP0008,False
EMP0134,Marketing,2024-03-01,3.6,EMP0036,False
EMP0134,Marketing,2025-03-01,3.3,EMP0036,False
EMP0135,Operations,2024-02-15,2.3,EMP0030,False
EMP0135,Operations,2025-02-14,2.8,EMP0030,False
EMP0135,Operations,2026-02-14,2.9,EMP0030,False
EMP0136,Marketing,2024-11-21,4.3,EMP0033,False
EMP0136,Marketing,2025-11-21,4.8,EMP0033,False
EMP0137,Finance,2024-10-25,2.9,EMP0010,False
EMP0137,Finance,2025-10-25,3.4,EMP0010,False
EMP0138,Sales,2024-12-01,3.1,EMP0005,False
EMP0138,Sales,2025-12-01,3.3,EMP0005,False
EMP0139,Finance,2025-09-13,3.7,EMP0019,False
EMP0140,Operations,2025-05-05,2.4,EMP0029,False
EMP0141,HR,2025-08-19,3.3,EMP0021,False
EMP0142,Marketing,2024-07-26,4.0,EMP0048,False
EMP0143,Marketing,2024-07-24,2.8,EMP0032,False
EMP0143,Marketing,2025-07-24,3.3,EMP0032,False
EMP0144,Sales,2025-02-23,3.1,EMP0029,False
EMP0144,Sales,2026-02-23,3.6,EMP0029,False
EMP0145,Operations,2023-07-15,4.3,EMP0042,False
